1,1,4,5,4,79
2,1,7,7,5,78
3,1,8,7,6,77
4,1,8,7,6,77
1,2,4,4,3,81
2,2,6,0,4,81
3,2,7,0,5,81
4,2,7,7,5,81
1,3,4,4,2,84
2,3,6,0,4,84
3,3,7,0,5,85
4,3,7,6,5,85
1,4,4,4,2,86
2,4,5,0,4,87
3,4,7,0,5,88
4,4,7,6,5,89
1,5,3,4,2,87
2,5,5,0,4,89
3,5,7,0,5,91
4,5,6,6,5,92
1,6,3,3,2,88
2,6,4,0,3,90
3,6,6,0,5,93
4,6,6,5,5,96
1,7,3,3,2,89
2,7,4,0,3,101
3,7,6,0,5,98
4,7,6,5,5,96
1,8,2,2,1,103
2,8,4,0,3,102
3,8,6,0,5,100
4,8,6,5,5,99
1,9,2,1,1,105
2,9,3,0,3,104
3,9,5,0,4,103
4,9,6,4,5,103
1,10,1,1,1,106
2,10,2,0,2,106
3,10,4,0,3,106
4,10,5,4,5,106
