1,1,9,9,7,36
2,1,9,9,7,33
3,1,4,5,4,31
4,1,1,2,1,30
1,2,9,9,7,36
2,2,8,0,7,37
3,2,4,0,3,31
4,2,1,2,1,30
1,3,8,8,7,40
2,3,8,0,7,40
3,3,3,0,3,41
4,3,1,1,1,41
1,4,8,7,7,43
2,4,8,0,7,43
3,4,3,0,3,42
4,4,1,1,1,42
1,5,7,6,7,47
2,5,7,0,7,46
3,5,3,0,3,44
4,5,1,1,1,43
1,6,7,6,7,48
2,6,7,0,7,46
3,6,3,0,3,44
4,6,1,1,1,43
1,7,7,7,7,46
2,7,6,0,6,46
3,7,3,0,3,44
4,7,1,1,1,44
1,8,8,7,7,45
2,8,6,0,5,45
3,8,3,0,3,44
4,8,0,1,0,44
1,9,6,5,6,56
2,9,4,0,5,55
3,9,2,0,2,56
4,9,0,0,0,56
1,10,5,4,6,59
2,10,4,0,4,58
3,10,1,0,2,58
4,10,0,0,0,58
