1,1,4,4,3,65
2,1,7,7,5,67
3,1,8,7,6,70
4,1,8,7,6,72
1,2,4,4,3,65
2,2,6,0,5,67
3,2,8,0,6,69
4,2,8,7,6,69
1,3,4,4,2,79
2,3,6,0,4,78
3,3,7,0,6,77
4,3,7,7,6,77
1,4,4,4,2,81
2,4,5,0,4,80
3,4,7,0,6,80
4,4,7,6,6,80
1,5,3,4,2,83
2,5,4,0,4,83
3,5,7,0,5,83
4,5,7,6,5,84
1,6,3,3,2,85
2,6,4,0,4,85
3,6,7,0,5,86
4,6,7,6,5,87
1,7,3,3,2,86
2,7,4,0,3,87
3,7,6,0,5,89
4,7,7,6,5,90
1,8,3,3,2,87
2,8,4,0,3,89
3,8,6,0,5,91
4,8,6,5,5,93
1,9,3,3,2,88
2,9,3,0,2,89
3,9,5,0,4,92
4,9,6,5,5,94
1,10,1,1,1,103
2,10,2,0,2,101
3,10,4,0,3,99
4,10,6,5,5,97
