1,10,53250,288000,3,4,3,4,13,18,23,13
2,10,98580,0,4,3,5,5,0,0,0,0
3,10,45680,0,3,1,3,4,0,0,0,0
4,10,977800,288000,4,3,3,3,13,18,23,21
1,9,20680,288000,3,3,2,4,13,18,23,20
2,9,230160,0,3,3,4,5,0,0,0,0
3,9,165340,0,4,3,5,5,0,0,0,0
4,9,745950,288000,2,3,2,3,13,18,23,20
1,8,17210,288000,4,3,5,4,13,18,23,58
2,8,252280,0,4,4,4,5,0,0,0,0
3,8,70540,0,5,2,4,5,0,0,0,0
4,8,318590,288000,4,4,4,3,16,24,32,8
1,7,248980,216000,4,5,4,5,12,20,28,23
2,7,407460,0,4,5,5,5,0,0,0,0
3,7,1037520,0,3,3,3,4,0,0,0,0
4,7,244300,216000,1,5,3,4,16,24,32,16
1,6,1596700,216000,4,4,4,3,12,22,32,19
2,6,591100,0,4,3,4,5,0,0,0,0
3,6,1497900,0,3,1,5,2,0,0,0,0
4,6,448300,216000,1,3,4,3,10,18,26,12
1,5,1327800,216000,4,5,5,4,10,25,40,31
2,5,440400,0,4,2,4,5,0,0,0,0
3,5,141700,0,2,5,4,5,0,0,0,0
4,5,350100,216000,1,5,3,2,10,18,26,3
1,4,622800,216000,4,5,3,2,9,24,39,27
2,4,55700,0,3,4,2,3,0,0,0,0
3,4,73200,0,4,4,3,3,0,0,0,0
4,4,481400,216000,3,5,4,2,15,25,35,2
1,3,704700,144000,2,4,3,2,7,22,37,40
2,3,85000,0,5,1,5,2,0,0,0,0
3,3,58800,0,3,1,4,1,0,0,0,0
4,3,1094200,144000,2,4,4,1,15,25,35,1
1,2,394700,144000,2,4,1,2,7,22,37,64
2,2,9910,144000,2,1,3,1,8,18,28,4
3,2,406100,0,1,2,4,1,0,0,0,0
4,2,2048400,144000,4,4,5,1,15,30,45,2
1,1,248,72000,1,1,1,1,8,18,28,85
2,1,89500,72000,2,3,3,2,5,15,25,70
3,1,1081600,72000,3,4,4,1,12,26,38,25
4,1,1478304,72000,5,3,5,1,15,30,45,16

